,source,target,values
1,Anne-Caroline JAMBAUD,Culture,29.0
3,Anne-Caroline JAMBAUD,Inclusion,2.0
15,Anne-Caroline JAMBAUD,Temps,2.0
20,Anne-Caroline JAMBAUD,Numérique,10.0
21,Anne-Caroline JAMBAUD,Usage,9.0
23,Anne-Caroline JAMBAUD,Innovation,16.0
27,Anne-Caroline JAMBAUD,Valeurs,2.0
28,Anne-Caroline JAMBAUD,Économie,2.0
30,Anne-Caroline JAMBAUD,Cadre de vie,3.0
32,Anne-Caroline JAMBAUD,Citoyenneté,3.0
38,Anne-Caroline JAMBAUD,Politique de la ville,6.0
45,Anne-Caroline JAMBAUD,Éducation,2.0
46,Anne-Caroline JAMBAUD,Mobilité,11.0
47,Anne-Caroline JAMBAUD,Service public,13.0
50,Anne-Caroline JAMBAUD,Genre,10.0
71,Anne-Caroline JAMBAUD,Urbanisme,6.0
72,Anne-Caroline JAMBAUD,Grand Lyon,1.0
75,Anne-Caroline JAMBAUD,Patrimoine,9.0
84,Anne-Caroline JAMBAUD,Data,6.0
93,Anne-Caroline JAMBAUD,Démocratie,3.0
202,Anne-Caroline JAMBAUD,Égalité,7.0
620,Culture,Anne-Caroline JAMBAUD,29.0
627,Culture,Catherine DEBRAND,2.0
628,Culture,Emile HOOGE,2.0
629,Culture,Cédric POLÈRE,14.0
630,Culture,Ludovic VIÉVARD,16.0
631,Culture,Eve DENJEAN,10.0
634,Culture,Philippe DUJARDIN,2.0
651,Culture,Julie JEAMMAUD,25.0
654,Culture,Jean-Marc BERTHET,1.0
657,Culture,Catherine PANASSIER,4.0
659,Culture,Caroline JANUEL,2.0
662,Culture,Marianne CHOUTEAU,3.0
671,Culture,Anouk JORDAN,1.0
672,Culture,Sylvie  MAURIS-DEMOURIOUX,5.0
690,Culture,Catherine FORET,3.0
694,Culture,René RIZZARDO,1.0
718,Culture,Eddy MAAROUFI,8.0
719,Culture,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,6.0
720,Culture,Lucas PIESSAT,7.0
726,Culture,Margot BALDASSI,5.0
727,Culture,Philippe GARGOV,5.0
733,Culture,Pierre-Alain FOUR,66.0
739,Culture,Bruno BENOIT,2.0
748,Culture,Thomas HAJDUKOWICZ,7.0
757,Culture,Sophie KELLER,11.0
780,Culture,Jean-Jacques WUNENBURGER,1.0
792,Culture,Pierre GROSDEMOUGE,2.0
803,Culture,Virginie MILLIOT-BELMADANI,7.0
810,Culture,Delphine BALVET,1.0
811,Culture,Stéphane AUTRAN,5.0
835,Culture,Marie-Christine POUCHELLE,1.0
840,Culture,Michel WIEVIORKA,2.0
846,Culture,Dann METTIDJI,4.0
872,Culture,Gilles PINSON,1.0
873,Culture,Lionel ARNAUD,2.0
891,Culture,Thomas COISPEL,4.0
909,Culture,Julien THIBURCE,2.0
910,Culture,Emmanuel ARLOT,3.0
916,Culture,Florence ABITBOL,4.0
917,Culture,Gilles GUILLOT,1.0
935,Culture,Benoît GUILLEMONT,1.0
953,Culture,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,1.0
962,Culture,Stéphanie LEFORT-AUCHERE,1.0
970,Culture,Patrice MARIE,1.0
993,Culture,Ludovic ROGUET,1.0
1088,Culture,Michel COTE,1.0
1138,Culture,Denis CERCLET,1.0
1223,Culture,Magdalena NIN-OTT,1.0
1224,Culture,Antoine LIGIER,1.0
1235,Culture,Gilles GARRIGOS,1.0
1243,Benjamin  PRADEL,Inclusion,13.0
1244,Benjamin  PRADEL,Clivages,4.0
1245,Benjamin  PRADEL,Pauvreté,13.0
1255,Benjamin  PRADEL,Temps,11.0
1257,Benjamin  PRADEL,Transition,8.0
1260,Benjamin  PRADEL,Numérique,5.0
1261,Benjamin  PRADEL,Usage,3.0
1263,Benjamin  PRADEL,Innovation,2.0
1266,Benjamin  PRADEL,Solidarité,9.0
1267,Benjamin  PRADEL,Valeurs,6.0
1268,Benjamin  PRADEL,Économie,4.0
1270,Benjamin  PRADEL,Cadre de vie,4.0
1278,Benjamin  PRADEL,Politique de la ville,16.0
