url,tags,auteurs,0,1,2,3,4,5,6,7,8,9,YEAR,DATE,TYPE
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives,Prospective,N_A,N,A,,,,,,,,,1998.0,1998-02-13,Dossier
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-10-L-agglomeration-lyonnaise-en-mouvement,Prospective,N_A,N,A,,,,,,,,,1998.0,1998-09-11,Étude
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-10-L-agglomeration-lyonnaise-en-mouvement,Culture,N_A,N,A,,,,,,,,,1998.0,1998-09-11,Étude
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-10-L-agglomeration-lyonnaise-en-mouvement,Citoyenneté,N_A,N,A,,,,,,,,,1998.0,1998-09-11,Étude
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-10-L-agglomeration-lyonnaise-en-mouvement,Grand Lyon,N_A,N,A,,,,,,,,,1998.0,1998-09-11,Étude
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-15-Violence-et-securite,Prospective,N_A,N,A,,,,,,,,,1999.0,1999-09-16,Étude
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-15-Violence-et-securite,Sécurité,N_A,N,A,,,,,,,,,1999.0,1999-09-16,Étude
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-19-Les-politiques-culturelles,Prospective,N_A,N,A,,,,,,,,,2000.0,2000-02-17,Étude
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-19-Les-politiques-culturelles,Culture,N_A,N,A,,,,,,,,,2000.0,2000-02-17,Étude
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-22-L-ere-de-l-information-enjeux-economiques-sociaux-et-democratiques,Prospective,N_A,N,A,,,,,,,,,2001.0,2001-05-18,Étude
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-22-L-ere-de-l-information-enjeux-economiques-sociaux-et-democratiques,Démocratie,N_A,N,A,,,,,,,,,2001.0,2001-05-18,Étude
https://www.millenaire3.com/dossiers/1998/les-cahiers-millenaire-3-archives/Cahier-Millenaire-3-n-22-L-ere-de-l-information-enjeux-economiques-sociaux-et-democratiques,Numérique,N_A,N,A,,,,,,,,,2001.0,2001-05-18,Étude
