,source,target,values
546,Geoffroy BING,Innovation,29.0
547,Geoffroy BING,Handicap,2.0
548,Geoffroy BING,Usage,10.0
549,Geoffroy BING,Santé,8.0
550,Geoffroy BING,Data,2.0
551,Geoffroy BING,Management,3.0
552,Geoffroy BING,Économie,14.0
553,Geoffroy BING,Social,2.0
554,Geoffroy BING,Cadre de vie,5.0
555,Geoffroy BING,Service public,8.0
556,Geoffroy BING,Ressources,1.0
557,Geoffroy BING,Mobilité,3.0
558,Geoffroy BING,Entreprise,26.0
559,Geoffroy BING,Finance,2.0
560,Geoffroy BING,Solidarité,5.0
561,Geoffroy BING,Numérique,11.0
562,Geoffroy BING,Attractivité,5.0
563,Geoffroy BING,Travail,2.0
564,Geoffroy BING,Institution,9.0
565,Geoffroy BING,Évaluation,2.0
566,Geoffroy BING,Recherche,9.0
567,Geoffroy BING,International,6.0
568,Geoffroy BING,Éducation,2.0
569,Geoffroy BING,Urbanisme,4.0
570,Geoffroy BING,Politique de la ville,1.0
571,Geoffroy BING,Citoyenneté,1.0
572,Geoffroy BING,Valeurs,1.0
573,Geoffroy BING,Grand Lyon,9.0
574,Geoffroy BING,Patrimoine,3.0
575,Geoffroy BING,Prospective,2.0
576,Geoffroy BING,Laïcité,1.0
577,Geoffroy BING,Transition,2.0
578,Geoffroy BING,Concertation,1.0
579,Geoffroy BING,Inclusion,1.0
580,Geoffroy BING,Jeunesse,4.0
1150,Catherine PANASSIER,Innovation,3.0
1151,Catherine PANASSIER,Handicap,12.0
1152,Catherine PANASSIER,Usage,6.0
1153,Catherine PANASSIER,Santé,14.0
1156,Catherine PANASSIER,Économie,2.0
1157,Catherine PANASSIER,Social,4.0
1158,Catherine PANASSIER,Cadre de vie,6.0
1159,Catherine PANASSIER,Service public,8.0
1162,Catherine PANASSIER,Entreprise,1.0
1164,Catherine PANASSIER,Solidarité,21.0
1165,Catherine PANASSIER,Numérique,3.0
1166,Catherine PANASSIER,Attractivité,3.0
1167,Catherine PANASSIER,Travail,6.0
1168,Catherine PANASSIER,Institution,9.0
1169,Catherine PANASSIER,Évaluation,2.0
1170,Catherine PANASSIER,Recherche,1.0
1172,Catherine PANASSIER,Éducation,9.0
1173,Catherine PANASSIER,Urbanisme,4.0
1174,Catherine PANASSIER,Politique de la ville,15.0
1175,Catherine PANASSIER,Citoyenneté,2.0
1176,Catherine PANASSIER,Valeurs,8.0
1177,Catherine PANASSIER,Grand Lyon,9.0
1178,Catherine PANASSIER,Patrimoine,5.0
1180,Catherine PANASSIER,Laïcité,1.0
1181,Catherine PANASSIER,Transition,2.0
1182,Catherine PANASSIER,Concertation,2.0
1183,Catherine PANASSIER,Inclusion,22.0
1184,Catherine PANASSIER,Jeunesse,12.0
1185,Catherine PANASSIER,Cohésion sociale,8.0
1186,Catherine PANASSIER,Sport,2.0
1187,Catherine PANASSIER,Biodiversité,4.0
1188,Catherine PANASSIER,Insertion,2.0
1189,Catherine PANASSIER,Démocratie,10.0
1190,Catherine PANASSIER,Sécurité,1.0
1191,Catherine PANASSIER,Temps,2.0
1192,Catherine PANASSIER,Pensées politiques,4.0
1193,Catherine PANASSIER,Culture,4.0
1194,Catherine PANASSIER,Justice,1.0
1195,Catherine PANASSIER,Personnes âgées,1.0
1196,Catherine PANASSIER,Clivages,1.0
1197,Catherine PANASSIER,Égalité,1.0
1754,Stéphane AUTRAN,Innovation,2.0
1757,Stéphane AUTRAN,Santé,2.0
1762,Stéphane AUTRAN,Cadre de vie,1.0
1763,Stéphane AUTRAN,Service public,1.0
1765,Stéphane AUTRAN,Mobilité,6.0
1766,Stéphane AUTRAN,Entreprise,1.0
1772,Stéphane AUTRAN,Institution,6.0
1774,Stéphane AUTRAN,Recherche,1.0
1776,Stéphane AUTRAN,Éducation,1.0
1777,Stéphane AUTRAN,Urbanisme,6.0
1781,Stéphane AUTRAN,Grand Lyon,7.0
1782,Stéphane AUTRAN,Patrimoine,14.0
1784,Stéphane AUTRAN,Laïcité,2.0
1787,Stéphane AUTRAN,Inclusion,1.0
1789,Stéphane AUTRAN,Cohésion sociale,1.0
1797,Stéphane AUTRAN,Culture,4.0
2358,Sylvie  MAURIS-DEMOURIOUX,Innovation,7.0
2359,Sylvie  MAURIS-DEMOURIOUX,Handicap,2.0
2361,Sylvie  MAURIS-DEMOURIOUX,Santé,17.0
2362,Sylvie  MAURIS-DEMOURIOUX,Data,1.0
2363,Sylvie  MAURIS-DEMOURIOUX,Management,2.0
2364,Sylvie  MAURIS-DEMOURIOUX,Économie,2.0
2365,Sylvie  MAURIS-DEMOURIOUX,Social,3.0
2366,Sylvie  MAURIS-DEMOURIOUX,Cadre de vie,4.0
2367,Sylvie  MAURIS-DEMOURIOUX,Service public,5.0
2368,Sylvie  MAURIS-DEMOURIOUX,Ressources,4.0
2370,Sylvie  MAURIS-DEMOURIOUX,Entreprise,4.0
2371,Sylvie  MAURIS-DEMOURIOUX,Finance,5.0
2372,Sylvie  MAURIS-DEMOURIOUX,Solidarité,6.0
2373,Sylvie  MAURIS-DEMOURIOUX,Numérique,5.0
2375,Sylvie  MAURIS-DEMOURIOUX,Travail,6.0
2376,Sylvie  MAURIS-DEMOURIOUX,Institution,4.0
2378,Sylvie  MAURIS-DEMOURIOUX,Recherche,18.0
2379,Sylvie  MAURIS-DEMOURIOUX,International,2.0
2380,Sylvie  MAURIS-DEMOURIOUX,Éducation,11.0
2381,Sylvie  MAURIS-DEMOURIOUX,Urbanisme,5.0
2382,Sylvie  MAURIS-DEMOURIOUX,Politique de la ville,1.0
2384,Sylvie  MAURIS-DEMOURIOUX,Valeurs,4.0
2385,Sylvie  MAURIS-DEMOURIOUX,Grand Lyon,9.0
2386,Sylvie  MAURIS-DEMOURIOUX,Patrimoine,1.0
2387,Sylvie  MAURIS-DEMOURIOUX,Prospective,2.0
2388,Sylvie  MAURIS-DEMOURIOUX,Laïcité,1.0
2389,Sylvie  MAURIS-DEMOURIOUX,Transition,1.0
2391,Sylvie  MAURIS-DEMOURIOUX,Inclusion,3.0
2392,Sylvie  MAURIS-DEMOURIOUX,Jeunesse,3.0
2393,Sylvie  MAURIS-DEMOURIOUX,Cohésion sociale,4.0
2394,Sylvie  MAURIS-DEMOURIOUX,Sport,1.0
2395,Sylvie  MAURIS-DEMOURIOUX,Biodiversité,1.0
2397,Sylvie  MAURIS-DEMOURIOUX,Démocratie,3.0
2399,Sylvie  MAURIS-DEMOURIOUX,Temps,1.0
2401,Sylvie  MAURIS-DEMOURIOUX,Culture,2.0
2402,Sylvie  MAURIS-DEMOURIOUX,Justice,2.0
2403,Sylvie  MAURIS-DEMOURIOUX,Personnes âgées,4.0
2406,Sylvie  MAURIS-DEMOURIOUX,Climat,1.0
2407,Sylvie  MAURIS-DEMOURIOUX,Veille M3,9.0
2408,Sylvie  MAURIS-DEMOURIOUX,Genre,2.0
2409,Sylvie  MAURIS-DEMOURIOUX,Pauvreté,1.0
2962,Emile HOOGE,Innovation,9.0
2964,Emile HOOGE,Usage,2.0
2965,Emile HOOGE,Santé,5.0
2966,Emile HOOGE,Data,2.0
2967,Emile HOOGE,Management,1.0
2968,Emile HOOGE,Économie,9.0
2969,Emile HOOGE,Social,1.0
2970,Emile HOOGE,Cadre de vie,2.0
2971,Emile HOOGE,Service public,1.0
2972,Emile HOOGE,Ressources,1.0
2973,Emile HOOGE,Mobilité,1.0
2974,Emile HOOGE,Entreprise,7.0
2976,Emile HOOGE,Solidarité,1.0
2977,Emile HOOGE,Numérique,6.0
2978,Emile HOOGE,Attractivité,10.0
2979,Emile HOOGE,Travail,7.0
2980,Emile HOOGE,Institution,2.0
2982,Emile HOOGE,Recherche,2.0
2983,Emile HOOGE,International,2.0
2984,Emile HOOGE,Éducation,4.0
2985,Emile HOOGE,Urbanisme,2.0
2987,Emile HOOGE,Citoyenneté,2.0
2988,Emile HOOGE,Valeurs,10.0
2989,Emile HOOGE,Grand Lyon,5.0
2990,Emile HOOGE,Patrimoine,4.0
2993,Emile HOOGE,Transition,2.0
2996,Emile HOOGE,Jeunesse,2.0
2997,Emile HOOGE,Cohésion sociale,1.0
3005,Emile HOOGE,Culture,3.0
3014,Emile HOOGE,Développement durable,1.0
3566,Boris CHABANEL,Innovation,11.0
3568,Boris CHABANEL,Usage,5.0
3569,Boris CHABANEL,Santé,6.0
3570,Boris CHABANEL,Data,4.0
3571,Boris CHABANEL,Management,2.0
3572,Boris CHABANEL,Économie,43.0
3573,Boris CHABANEL,Social,2.0
3574,Boris CHABANEL,Cadre de vie,4.0
3575,Boris CHABANEL,Service public,3.0
3576,Boris CHABANEL,Ressources,9.0
3577,Boris CHABANEL,Mobilité,4.0
3578,Boris CHABANEL,Entreprise,21.0
3579,Boris CHABANEL,Finance,1.0
3580,Boris CHABANEL,Solidarité,2.0
3581,Boris CHABANEL,Numérique,11.0
3582,Boris CHABANEL,Attractivité,11.0
3583,Boris CHABANEL,Travail,13.0
3584,Boris CHABANEL,Institution,4.0
3585,Boris CHABANEL,Évaluation,4.0
3586,Boris CHABANEL,Recherche,3.0
3587,Boris CHABANEL,International,4.0
3588,Boris CHABANEL,Éducation,2.0
3589,Boris CHABANEL,Urbanisme,2.0
3590,Boris CHABANEL,Politique de la ville,1.0
3591,Boris CHABANEL,Citoyenneté,1.0
3592,Boris CHABANEL,Valeurs,9.0
3593,Boris CHABANEL,Grand Lyon,1.0
3595,Boris CHABANEL,Prospective,4.0
3597,Boris CHABANEL,Transition,14.0
3599,Boris CHABANEL,Inclusion,2.0
3600,Boris CHABANEL,Jeunesse,2.0
3601,Boris CHABANEL,Cohésion sociale,2.0
3603,Boris CHABANEL,Biodiversité,4.0
3604,Boris CHABANEL,Insertion,7.0
3605,Boris CHABANEL,Démocratie,2.0
3606,Boris CHABANEL,Sécurité,1.0
3607,Boris CHABANEL,Temps,1.0
3610,Boris CHABANEL,Justice,2.0
3612,Boris CHABANEL,Clivages,2.0
3614,Boris CHABANEL,Climat,1.0
3618,Boris CHABANEL,Développement durable,1.0
4176,Isabelle ROUGÉ,Économie,1.0
4182,Isabelle ROUGÉ,Entreprise,1.0
4774,Caroline JANUEL,Innovation,4.0
4775,Caroline JANUEL,Handicap,5.0
4776,Caroline JANUEL,Usage,4.0
4777,Caroline JANUEL,Santé,17.0
4778,Caroline JANUEL,Data,6.0
4779,Caroline JANUEL,Management,1.0
4780,Caroline JANUEL,Économie,6.0
4782,Caroline JANUEL,Cadre de vie,1.0
4783,Caroline JANUEL,Service public,1.0
4784,Caroline JANUEL,Ressources,4.0
4785,Caroline JANUEL,Mobilité,5.0
4786,Caroline JANUEL,Entreprise,7.0
4788,Caroline JANUEL,Solidarité,2.0
4789,Caroline JANUEL,Numérique,13.0
4790,Caroline JANUEL,Attractivité,8.0
4791,Caroline JANUEL,Travail,5.0
4793,Caroline JANUEL,Évaluation,1.0
4794,Caroline JANUEL,Recherche,12.0
4796,Caroline JANUEL,Éducation,6.0
4797,Caroline JANUEL,Urbanisme,2.0
4798,Caroline JANUEL,Politique de la ville,1.0
4799,Caroline JANUEL,Citoyenneté,1.0
4800,Caroline JANUEL,Valeurs,2.0
4801,Caroline JANUEL,Grand Lyon,3.0
4802,Caroline JANUEL,Patrimoine,2.0
4803,Caroline JANUEL,Prospective,4.0
4805,Caroline JANUEL,Transition,17.0
4807,Caroline JANUEL,Inclusion,3.0
4808,Caroline JANUEL,Jeunesse,3.0
4811,Caroline JANUEL,Biodiversité,3.0
4817,Caroline JANUEL,Culture,3.0
4818,Caroline JANUEL,Justice,2.0
4819,Caroline JANUEL,Personnes âgées,1.0
4823,Caroline JANUEL,Veille M3,5.0
4826,Caroline JANUEL,Développement durable,1.0
4827,Caroline JANUEL,Emploi,1.0
5378,Catherine FORET,Innovation,1.0
5380,Catherine FORET,Usage,3.0
5385,Catherine FORET,Social,1.0
5386,Catherine FORET,Cadre de vie,2.0
5387,Catherine FORET,Service public,1.0
5388,Catherine FORET,Ressources,1.0
5392,Catherine FORET,Solidarité,4.0
5393,Catherine FORET,Numérique,2.0
5396,Catherine FORET,Institution,6.0
