,source,target,values
0,Mobilité,Climat,3.0
1,Mobilité,Transition,11.0
2,Mobilité,Innovation,15.0
4,Mobilité,Grand Lyon,10.0
5,Mobilité,Économie,3.0
6,Mobilité,Solidarité,3.0
8,Mobilité,Ressources,2.0
9,Mobilité,Temps,12.0
10,Mobilité,Politique de la ville,5.0
11,Mobilité,Urbanisme,23.0
12,Mobilité,Usage,7.0
13,Mobilité,Service public,10.0
14,Mobilité,Valeurs,1.0
15,Mobilité,Cadre de vie,13.0
17,Mobilité,Prospective,2.0
19,Mobilité,Numérique,7.0
20,Mobilité,Biodiversité,1.0
21,Mobilité,Entreprise,2.0
23,Mobilité,Institution,1.0
24,Mobilité,Patrimoine,5.0
30,Mobilité,Santé,2.0
34,Mobilité,Éducation,1.0
39,Mobilité,Travail,3.0
40,Mobilité,Attractivité,3.0
44,Mobilité,Data,2.0
45,Mobilité,Évaluation,1.0
48,Mobilité,International,3.0
52,Mobilité,Sécurité,1.0
55,Climat,Mobilité,3.0
56,Climat,Transition,12.0
58,Climat,Citoyenneté,1.0
59,Climat,Grand Lyon,10.0
63,Climat,Ressources,9.0
65,Climat,Politique de la ville,1.0
66,Climat,Urbanisme,3.0
68,Climat,Service public,4.0
70,Climat,Cadre de vie,13.0
72,Climat,Prospective,1.0
75,Climat,Biodiversité,6.0
77,Climat,Veille M3,2.0
85,Climat,Santé,2.0
89,Climat,Éducation,2.0
91,Climat,Sport,1.0
92,Climat,Recherche,1.0
97,Climat,Développement durable,1.0
103,Climat,International,1.0
107,Climat,Sécurité,1.0
110,Transition,Mobilité,11.0
111,Transition,Climat,12.0
112,Transition,Innovation,7.0
113,Transition,Citoyenneté,4.0
114,Transition,Grand Lyon,11.0
115,Transition,Économie,36.0
116,Transition,Solidarité,4.0
117,Transition,Inclusion,1.0
118,Transition,Ressources,11.0
120,Transition,Politique de la ville,2.0
121,Transition,Urbanisme,3.0
122,Transition,Usage,2.0
123,Transition,Service public,4.0
124,Transition,Valeurs,9.0
125,Transition,Cadre de vie,18.0
127,Transition,Prospective,2.0
128,Transition,Pensées politiques,1.0
129,Transition,Numérique,3.0
130,Transition,Biodiversité,10.0
131,Transition,Entreprise,2.0
132,Transition,Veille M3,7.0
134,Transition,Patrimoine,2.0
135,Transition,Concertation,2.0
136,Transition,Justice,1.0
137,Transition,Culture,2.0
140,Transition,Santé,1.0
141,Transition,Social,1.0
142,Transition,Insertion,1.0
144,Transition,Éducation,10.0
